This is a cache of all of the repositories I own, have contributed to, or am a member of.

repository (hashed)    total commits    LOC added by me    LOC deleted by me
          \                  \                  \__________________  \
           \                  \_________________________________   \  \
____________\___________________________________________________\___\__\_
d9c645299656378bd8b74addd653185ec2e149d1dff7dfdb673d24206c4f371d 117 86 6
af18194241f63bdff9ae1ec2c664ce41b8471d3ca9471487f5e5b1dc74d6ba0d 141 2485 1940
6586bb251cb1a1842ac32d5c0eae312eb4582bada6578c4233f0bace362d47c5 64 375 150
59974651723f78e7da3e51bffa686f6671d4ea0da90c5a7b1bfcdb843b0aee54 702 2 1
9dd69ffc4e162634245f4144f3686f6344ab6bb80195ea1710766548e8c3ff73 16 0 0
df0fbb3bbc9836c8ddd1bea3fec78cfc17d7b9f640a39c3babb000034fd04e72 15 712 188
a1ec6a8bf279b2a5a8c4fa3a0d6bdc74e09f3b121bd4a590e0202bb0efe85e3e 52 0 0
5cec59428887209d90835a5126f2853afe6bdf6b708687013c144f1b7a4bbc94 139 0 0
da40ab03bef316e845ecd6a8858dab885177ff7bcdaf9c0b35710dcc0f3c5e09 360 14 14
164290d992c93f87739ba2bc5a3e198a2008b3b08eb9dbbdb99115cf4b6e6949 38 29 391
62891bcfff599cb4d5426341296ff855e4502a92b749789aa31f4189bfdd5f78 1 1627 0
c83ca6dab4cd0c5f6f07a173ee9c6243d8f0c054297b3587f506ad0d605791ad 17 0 0
25e34d060ec5329208237ef9693732cf4fa68c8f630700e0000dde9a65a6df38 62 12447 2308
fbd923f051cd5dff0116c54cd580bb4772fac17bee6f7572f93c58ca25a2a9d9 24 2135 2820
4e77565c14b95b5fb5190a3d018ac95394f995be8863e4595b40234c3e3fd5dd 33 0 0
ed0e5cea45fc7ac240eff7ead49508011285dea0c4bdbbdce935a9214b4155c4 117 1389 469
7e564b58ca3cc68c0abc0487c1eee1952629513aba4fbc8e863e538cc44f21f7 32 2870 252
517654ad18b765c16937c38b81f87fec55d2f25e8a725634a95804337317d877 4 1249 34
9e8c40727a1f1a8ca3035fa2006cdb7d7f65c1ae09158e7594979a56d20a642d 4 1442 7
a63e542bb0aff256fe207dc492b26e76f92eca2788d7994f6d4f8da761a27c24 46 1745 432
0bf3c4e99fb653f951e1cefab47ec74efead5c5e55fd187d971edb3b693ed505 500 2445 1778
a4b91c6d640dd359114d7356584d901dfcf61b7615c7f6bd35e3169c73f58e88 96 0 0
ca1e4b136d77189a46e9e1e92cead684720dab8b3f7282d536db439e1ecb3c3e 39 39 0
5cb4eaddbbde8525cf2a98aefdc2bc48fdff4ae362abdfe078bc99fc32be205f 5 153 11
6672042563681466274f50d811fd9a899e39298fbd26675e824acb9a9b656ede 6 30 12
4da35b0ee2bb3f264de13af8ae7351ffed999cd33a474a6781fd5e387ab1f747 550 890 340
de8e45e50370b6a83d939e2e024b99ac36b177a3f49558b89eb564c1197dda12 120 2268 4
c4086cdc8180df14a191c230bd374fe3b5e537f281099148abd7c9b5954afd36 144 8419 6371
81bf10c781c0000ba6667a44b8efa6e0763f60f6f753970e99985cc0d1d571b6 12 0 0
d7c156a349767d5b8553a2703d8a36c8b801409c8c31315b1df7315564270f58 17 478 185
